unixtime,date_time,temp_degC,pH,O2_mgL
1522666074,2018-04-02 10:47:54,23.25,8.15,7.40
1522666080,2018-04-02 10:48:00,23.25,8.18,7.65
1522666086,2018-04-02 10:48:06,23.25,8.18,7.98
1522666091,2018-04-02 10:48:11,23.25,8.19,8.28
1522666096,2018-04-02 10:48:16,23.25,8.20,8.57
1522666101,2018-04-02 10:48:21,23.25,8.20,8.90
1522666107,2018-04-02 10:48:27,23.25,8.21,9.20
1522666112,2018-04-02 10:48:32,23.25,8.22,9.47
1522666117,2018-04-02 10:48:37,23.25,8.22,9.75
1522666123,2018-04-02 10:48:43,23.25,8.23,10.08
1522666130,2018-04-02 10:48:50,23.00,8.23,10.29
1522666136,2018-04-02 10:48:56,23.25,8.24,10.41
1522666142,2018-04-02 10:49:02,23.00,8.24,10.51
1522666149,2018-04-02 10:49:09,23.00,8.24,10.55
1522666155,2018-04-02 10:49:15,23.00,8.25,10.60
1522666162,2018-04-02 10:49:22,23.00,8.25,10.57
1522666168,2018-04-02 10:49:28,23.00,8.25,10.57
1522666175,2018-04-02 10:49:35,23.00,8.25,10.55
1522666181,2018-04-02 10:49:41,23.00,8.26,10.55
1522666188,2018-04-02 10:49:48,23.00,8.26,10.52
1522666194,2018-04-02 10:49:54,23.00,8.26,10.47
1522666201,2018-04-02 10:50:01,23.00,8.26,10.44
1522666207,2018-04-02 10:50:07,23.00,8.26,10.39
1522666214,2018-04-02 10:50:14,23.00,8.26,10.33
1522666220,2018-04-02 10:50:20,23.00,8.26,10.29
1522666227,2018-04-02 10:50:27,23.00,8.26,10.27
1522666233,2018-04-02 10:50:33,23.00,8.26,10.20
1522666240,2018-04-02 10:50:40,23.00,8.26,10.16
1522666246,2018-04-02 10:50:46,23.00,8.27,10.13
1522666253,2018-04-02 10:50:53,23.00,8.27,10.09
1522666259,2018-04-02 10:50:59,23.00,8.27,10.02
1522666265,2018-04-02 10:51:05,23.00,8.27,9.96
1522666272,2018-04-02 10:51:12,23.00,8.27,9.91
1522666278,2018-04-02 10:51:18,23.00,8.27,9.90
1522666287,2018-04-02 10:51:27,23.00,8.28,9.84
1522666297,2018-04-02 10:51:37,23.00,8.27,9.81
1522666306,2018-04-02 10:51:46,23.00,8.28,9.79
1522666315,2018-04-02 10:51:55,23.00,8.27,9.76
1522666324,2018-04-02 10:52:04,23.00,8.27,9.77
1522666333,2018-04-02 10:52:13,23.00,8.28,9.80
1522666342,2018-04-02 10:52:22,23.00,8.27,9.78
1522666351,2018-04-02 10:52:31,23.00,8.28,9.78
1522666360,2018-04-02 10:52:40,23.00,8.28,9.79
1522666369,2018-04-02 10:52:49,23.00,8.28,9.80
1522666378,2018-04-02 10:52:58,23.00,8.28,9.80
1522666387,2018-04-02 10:53:07,23.00,8.28,9.80
1522666396,2018-04-02 10:53:16,23.00,8.27,9.80
1522666405,2018-04-02 10:53:25,23.00,8.28,9.82
1522666414,2018-04-02 10:53:34,23.00,8.28,9.81
1522666423,2018-04-02 10:53:43,23.00,8.28,9.80
1522666432,2018-04-02 10:53:52,23.00,8.28,9.82
1522666442,2018-04-02 10:54:02,23.00,8.28,9.82
1522666451,2018-04-02 10:54:11,23.00,8.28,9.82
1522666460,2018-04-02 10:54:20,23.00,8.29,9.81
